country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kiribati,https://dynamospanish.com/wp-content/uploads/flags/images/Kiribati/2/large/Kiribati.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,13,16,18,27,36,45,39
Kuwait,https://dynamospanish.com/wp-content/uploads/flags/images/Kuwait/2/large/Kuwait.png,0,0,0,0,0,0,0,0,0,1,0,2,2,3,5,7,9,12,13,15,23,41,57,65,80,60,49,56,56,92,132,154,150,178,200,148,133,124
Kyrgyzstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kyrgyzstan/2/large/Kyrgyzstan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,24,41,64,84,97,113,121,118,130,129,127,121
Laos,https://dynamospanish.com/wp-content/uploads/flags/images/Laos/2/large/Laos.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,11,17,24,33,52,64,86,67,71,70,55,58,54
Latvia,https://dynamospanish.com/wp-content/uploads/flags/images/Latvia/2/large/Latvia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,16,27,39,52,67,83,98,100,105,107,108,110,127,125,118,129,134,126
Lebanon,https://dynamospanish.com/wp-content/uploads/flags/images/Lebanon/2/large/Lebanon.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,16,19,22,22,22,21,22,24,27,30,34,57,66,75,76,73,78,79,81,0
Lesotho,https://dynamospanish.com/wp-content/uploads/flags/images/Lesotho/2/large/Lesotho.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,6,10,12,18,24,29,32,48,59,73,84,99,98,103,106
Liberia,https://dynamospanish.com/wp-content/uploads/flags/images/Liberia/2/large/Liberia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,16,23,28,39,49,56,59,73,81,67,0
Libya,https://dynamospanish.com/wp-content/uploads/flags/images/Libya/2/large/Libya.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,34,66,75,121,155,176,161,154,165,136,156,121,0
Liechtenstein,https://dynamospanish.com/wp-content/uploads/flags/images/Liechtenstein/2/large/Liechtenstein.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,30,32,33,72,73,78,81,90,95,97,98,101,98,104,109,109,117,122
Lithuania,https://dynamospanish.com/wp-content/uploads/flags/images/Lithuania/2/large/Lithuania.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,9,14,29,47,61,90,130,142,150,156,156,156,160,164,152,144,142,144,150
Luxembourg,https://dynamospanish.com/wp-content/uploads/flags/images/Luxembourg/2/large/Luxembourg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,16,30,48,69,92,106,120,104,111,153,144,145,145,143,147,143,144,144,142,132,136
Macao,https://dynamospanish.com/wp-content/uploads/flags/images/Macao/2/large/Macao.png,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,9,11,13,20,28,32,44,61,79,91,110,128,157,181,197,208,246,286,299,315,315,321,0
